filename,status_code,verificationStatus,recommendation,confidence,fraudProbability,anomalies,ocr_len,visualSimilarity,nameSimilarity,diagnostics
test-certs\test-cert-1.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""test-cert-1.png"", ""sizeBytes"": 6028, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
test-certs\test-cert-2.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""test-cert-2.png"", ""sizeBytes"": 6131, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
test-certs\test-cert-3.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""test-cert-3.png"", ""sizeBytes"": 6199, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
test-certs\test-cert-4.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""test-cert-4.png"", ""sizeBytes"": 6098, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
test-certs\test-cert-5.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""test-cert-5.png"", ""sizeBytes"": 6181, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
test-certs-real\mongodb-cert-1.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""mongodb-cert-1.png"", ""sizeBytes"": 34726, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
test-certs-real\mongodb-cert-2.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""mongodb-cert-2.png"", ""sizeBytes"": 35006, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
test-certs-real\mongodb-cert-3.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""mongodb-cert-3.png"", ""sizeBytes"": 35188, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
test-certs-real\mongodb-cert-4.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""mongodb-cert-4.png"", ""sizeBytes"": 34899, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
test-certs-real\mongodb-cert-5.png,200,REJECTED,REJECT,15,100,"[{""type"": ""NO_TEMPLATE"", ""severity"": ""CRITICAL"", ""description"": ""No learned template profile available for comparison""}]",0,0,0,"{""uploadedFilename"": ""mongodb-cert-5.png"", ""sizeBytes"": 35163, ""mime"": ""application/octet-stream"", ""pdfConverted"": false, ""ocrAttempted"": false}"
